text,emotion
Dell Canada Weekly Coupons  amp  Deals  Save  200 on the Vostro 5501 Laptop   More Offers https   t co 5rvFcAhuzB https   t co 2n0sjcEDsQ,Surprise
and wray fbi cia satyr where jhojn walsh and his washington most wanted think he is a cop but srew me over 20 years  https   t co 98VlfEljEu,Fear
  FOR SALE DELL DESKTOP COMPUTER  4gb RAM  160HDD  WINDOW 7  DUA CORE  at Bleezprint Info Tech  Services and Graphi  https   t co r381wbAZ7C,Joy
FOR SALE DELL DESKTOP COMPUTER  4gb RAM  160HDD  WINDOW 7  DUA CORE   Bleezprint Info Tech  Services and Graphics https   t co wNoNTafKy1,Joy
RT  tyleroakley  get in loser  we re fixing america https   t co JnCqIdJEBb,Fear
 geckopress   GroundwoodBooks Hazy Dell  HolidayHouseBks  Inhabit Media  Kube Publishing  lantanapub   MediaLiveOak  https   t co KdSBgUBgQv,Joy
RT  Ramseyathletics  Field Hockey defeats River Dell 6 0  Way to go ladies ,Surprise
 Dmw80520984  AdamWrighty14  JPercyTelegraph Hows That score prediction going Dell  ,Fear
  Learn how to run  Dell s  SupportAssist app that can optimize  update  and maintain your PC   Click here for the  https   t co rUUQyNn5Ef,Fear
RT   benjvmins   pack it up dirty bitch  you re outta here,Fear
  alexandrax16   dell dell  Yerrrrrr that s what we was sayin,Surprise
RT  DellTechMEA  Experience a new way of sharing ideas  amp  strategies  uncovering new growth opportunities   amp  accelerating your digital trans ,Joy
RT  women4election  How it went            How it s going  https   t co kRuvrN2puf,Fear
Extra  2000 Off on Dell Laptop by redeeming 250 SuperCoins  Claim    https   t co 4QjzKhJ8Zj  Buy Link   https   t co gjOw1QuVtm,Joy
 DELL CO   KyleKulinski Mald harder buddy  doesn t matter how much project veritas lies  Trump will be leaving the whitehouse,Fear
RT  hucollegedems  Let it be known this day  you do not need a Harvard  Yale  Princeton  or Brown degree to be successful  Our Madam Vice P ,Fear
  Your  Alienware gaming system isn t performing as quickly as you expect     Try a clean boot of  Windows to find  https   t co 70Zu4wS6Dx,Joy
RT  KamalaHarris  We did it   JoeBiden  https   t co oCgeylsjB4,Surprise
We have our first 2021 signee  Xander Dell will join the men s team next season coming to us from Beaverton Jr Sr H  https   t co KGiDJVCn4X,Joy
 Premium Dell NOT A SOUL,Surprise
RT  bigbossdennis  Make he go work for foreign affairs,Joy
RT  Covey 10  One of the football family needs our support  Please share and donate if possible     Our Nellie  Fighting Cancer https   t c ,Joy
Just spent the last two hours on the phone and on anydesk fixing more problems that cropped up with that internet r  https   t co 6GJPXBA8ya,Joy
RT  dealmaxxdeals  Enter The Dell Inspiron Laptop Giveaway  dealmaxxdeals      https   t co evIqpMOLQq Is it time for a new laptop        G ,Joy
RT  BillClinton  America has spoken and democracy has won  Now we have a President Elect and Vice President Elect who will serve all of us ,Joy
Yes but when he pumps it up it becomes a Dell https   t co OOSvDzU2r1,Fear
UGREEN USB Printer Cable USB 2 0 Type A Male to Type B Male Printer Scanner Cable Cord High Speed Compatible for Br  https   t co WWPzRqgt43,Fear
 KyleKulinski Lol they flipped 6 000 votes in one county in MICH  What are you talking about dude,Surprise
RT  RDChandlerII   TonyLGND cash app giveaway on you today  EVERYONE DROP YA NAMES  HE S TREATING TODAY ,Joy
RT  DXCTechnology  We are proud to have achieved  DellTech  s Titanium Black Partner status  This recognition indicates our ongoing commitm ,Fear
RT  sIippn  Trump supporters will believe there s voter fraud with 0 evidence  but can t believe he sexually assaulted any women with 26 al ,Fear
Extra  2000 Off on Dell Laptop by redeeming 250 SuperCoins  Claim    https   t co 4QjzKhry7L  Buy Link   https   t co gjOw1QdkBO,Joy
AAAH HA YOU ORANGE BITCH FACE  realDonaldTrump,Surprise
 BrandonLewis  BenLowry2  JoeBiden  KamalaHarris           The Americans Have An Expression   Blowing Smoke  They K  https   t co uwZKgHUXLd,Fear
RT  kirankhanxxx  Omg ffks       is this really happening    my third webcam I had to cancel bought of https   t co XBJvbRVkjJ website chec ,Fear
 djironinrs2  unboxing  primeimpressioni Sul canale video online dell unboxing del Dji Ronin RS2 https   t co nzVpwoByI0,Fear
Field Hockey defeats River Dell 6 0  Way to go ladies ,Surprise
RT  contactpersona1   LatestB2BNews  MarTech Coming up  Content Marketing World and Dell Technologies World  https   t co HEWyd6zJqL https  ,Joy
 sarahcpr  KamalaHarris  DouglasEmhoff See ya soon  https   t co 8OoVeJCy78,Surprise
Dell Optiplex 7010 Business Desktop Computer  Intel Quad Core i5 3470 3 2GHz  16GB RAM  New 480GB SSD HDD  USB 3 0   https   t co InOnISbQI7,Fear
 dell krushnic He s playing golf oo,Sadness
Trump didn t make it out the gulag  ,Surprise
 Kimuzi   gt  gt  gt  gt  gt  gt  gt  Dell,Joy
RT  liljada0   president dell happy birthday  ,Surprise
 moneymyless Happy bday twin live it up   ,Surprise
dell always tell me   don t be out there fw no broke niggas      so ik when I tell him bout thissss,Fear
RT  D HoganC   president dell Happy birthday bro  ,Surprise
RT  julianstweets    president dell Happy bday my boy,Surprise
 Dellemah my bad dell for what I was telling about joe yeah I was trippin my bad it just that I m nervous rn,Fear
 Sandeep08555163  farhaz98  ICC I think   aap boult   starc aur dell stain ko world class bowler me count nhe krtay   ,Joy
RT  campuscodi  You can now disconnect the audio and camera at the hardware level on your Dell Linux systems,Joy
RT  billyeichner  I m so happy  Congrats  JoeBiden  Congrats  KamalaHarris  Congrats to everyone who works with them who made it happen dur ,Joy
RT  DCHawkFootball   DirtyBirdz4L  AFTF        Seniors  Peyton Broadwater Matt Cook Devon Davis Ngui Dodo LaPharoah Ellis Jaydin Evans Hunt ,Surprise
Joe dirt gotta get these stimulus poppin ASAP   Niggas out here down bad ordering 60 dollars worth of Dell Taco and some Arco gas  ,Disgust
Somebody took my card and ordered 60  worth of dell taco lmaooooooooo,Surprise
Woolworths inks hybrid cloud strategy deal with Dell Technologies  https   t co uXo5HKBcrZ  Iwork4Dell https   t co ykybRhjnKS,Joy
RT  AthleteSwag  Never forget Zion s Duke debut    https   t co rlDKC4fNqB,Joy
HPE  Pure Storage  NetApp Can t Beat PowerStore  Dell SVP https   t co oeo7WB3LDl  Iwork4Dell https   t co BmXQErzQX2,Anger
 MichaelDell Dear Mr Dell  U r my inspiration bt my recent exprnce wid Dell hs bn quite unpleasant Nt yet recd refu  https   t co TmmjiBeX8k,Fear
Earth s Survivors  The Nation  The formation of The Nation and the people who build it and carry it forward and the  https   t co gmNXPELDvA,Fear
Donations for Dell Children s Hospital for  extralife are also being accepted at this time  https   t co 8pnkwNnbQX,Joy
 president dell Happy bday my boy,Surprise
 Dell dell7  huhu bul myun Jungkook looks so confused lmao,Surprise
Dell U Series 32 Inch Screen LED Lit Monitor  U3219Q   Black https   t co SbUi6DSTxy https   t co YiR2wQUHSV,Fear
 baseballcrank It s bribery not extortion,Surprise
RT  jasminecrowe  I ve teamed up with  Dell to offer a full summer internship and free Dell XPS laptop  which is pretty amazing   I m encou ,Joy
RT  davidfuternick  I just told my 10yo daughter about  JRB  She had tears in her eyes  She then yelled  Joekanda   did the D GenerationX   ,Fear
 AishaKevotes  jmeacham  Acosta If you ever want to meet up for Korean BBQ with me and my fianc   DM me  There s a  https   t co nFWvawFJjO,Joy
RT  ashconway2  we just woke up from a 4 year nightmare     good morning y all,Fear
RT  pjayevans  time to unfollow donald trump  now he s just an insane person in society,Surprise
Carlton Martial  Dell Pettus and Will Choloh making consecutive tackles for  5 total yards is beautiful ,Joy
 president dell Happy birthday bro  ,Surprise
RT  GlitterNGoth  Are you telling me Biden had two pretty dogs this WHOLE TIME and y all didn t tell the white voters    Are you KIDDING ME ,Fear
We need an in depth story as to how this place was chosen    It has to be the finale of some Commedia dell Arte far  https   t co suETgfkO6E,Fear
RT  XXL  They re blasting  FDT  outside the White House right now    TheMarathonContinues   https   t co 7OtTTK1coO,Fear
RT  Wale  When u told folks u ain t wanna rap no more    we was mad   but now I m so glad everybody know u had a bigger callin     46,Joy
RT  KamalaHarris  We did it   JoeBiden  https   t co oCgeylsjB4,Surprise
 amyrerenese If that happen i don t wanna hear it from anybody for the next 50 years lol,Surprise
 Dmw80520984  JaneJac54550719 Very true Dell,Joy
I just told my 10yo daughter about  JRB  She had tears in her eyes  She then yelled  Joekanda   did the D Generatio  https   t co KgVLs37IGW,Fear
this is definitely one of the worst parts of the pandemic I m mourning the incredible atmosphere going out tonight  https   t co kXouunQ6zG,Joy
wait Dell Curry  stephen curry s dad  was born in my city,Surprise
https   t co 0ZuAOR5kOi Pointer to Reviews of Dell computers with Ubuntu Feisty Fawn preinstalled   XPS 410n  E1505n,Surprise
We are proud to have achieved  DellTech  s Titanium Black Partner status  This recognition indicates our ongoing co  https   t co QqX03ucgBt,Fear
Omg ffks       is this really happening    my third webcam I had to cancel bought of https   t co XBJvbRVkjJ websit  https   t co LKXjfrrZ7R,Anger
 jephthahaa  Essel guy  ffeelingsteph Small time she go dell the account  ,Surprise
https   t co S4t8Ancxg1  Dell Laptop good luck everyone  ,Surprise
 fern dell but where WHERE is Jesy   ,Sadness
 do epic chic  Right   Especially the rich ones like him  He probably going crazy,Joy
It s about that time  realDonaldTrump https   t co chjzKeeaYr,Surprise
 Premium Dell He in his social media hunker throwing a fit   White folks ain t use to taking Ls,Fear
So what time are we gonna go by and blast FDT by that house on dell dale with all those trump flags and cut out board  Y all lmk,Surprise
Finally https   t co KIFXymC5yh,Joy
  Crime Time is a collection of nine crime stories from author Dell Sweet    When a man tells you he has the moral  https   t co s2A8M4tJvu,Fear
 president dell happy birthday  ,Surprise
RT  jasminecrowe  I ve teamed up with  Dell to offer a full summer internship and free Dell XPS laptop  which is pretty amazing   I m encou ,Joy
 TheRock  steveaustinBSR   WWEUniverse   JohnCena  psndown  Microsoft  playstation  starwars  FansofLivePd  https   t co q27ddwZw8C,Anger
Hurt and wounded https   t co LA6aoedChh,Joy
Take a second to congratulate the first black female Vice President,Surprise
  slimG00DY      damn near,Fear
Chilwell inscrit le 2e but de Chelsea  2 1   CHESHU,Joy
Stocks to watch Nov  8 thru Nov  13  dell  ggg  mmm  nke  amp   hbi the catalyst https   t co TCBa4ZN43D,Fear
RT  BernieSanders  I want to congratulate all those who worked so hard to make this historic day possible  Now  through our continued grass ,Fear
free dell,Joy
 Premium Dell Aren t we Israelites  Shalom,Surprise
RT  TrickOrTreakle  Does this mean that Hunter Biden s laptop is now  The First Dell of the United States  ,Fear
RT   Killa kev   WE GOT NORMAL RACISM BACK,Fear
RT  TheDailyShow  It s official  Donald Trump is    https   t co LxUycoZF9s,Surprise
Watching CNN and seeing  all these people around the US celebrate really makes me happy ,Joy
  slimG00DY Israel about to be on top fasho,Surprise
RT  KidCudi  All the black Trump supporters haha https   t co nmlLP6xvYN,Surprise
Like I said our generation powered the wins in all the black cities  https   t co iv1Vz7g4za,Fear
  All indomani dell incontro    1988 by Salvador Aulestia  1915 1994  60x100 cm  Timeless Women exhibition in Almac  https   t co qGP4WY0Adz,Fear
RT  alyssakeiko  Thinking about Betsy DeVos amp Co  https   t co 7twonWcaSQ,Fear
RT  jasminecrowe  I ve teamed up with  Dell to offer a full summer internship and free Dell XPS laptop  which is pretty amazing   I m encou ,Joy
 saintlocks are you sitting comfortably  littlemix,Surprise
Dear  amazonIN  Brands Spotted   1  DELL 2 ONEPLUS 3  SAMSUNG Thanks  amazonIN  for  AmazonFinaleDays  https   t co JrxqtngVzm,Surprise
there s so many fireworks going on where I live rn I wonder if they re election related,Surprise
RT  IAM  Network  Global Facial Recognition Biometrics in Consumer Electronics Market Expected to reach highest CAGR in forecast period   R ,Fear
 amazonIN Dear  amazonIN  Brands Spotted   1  DELL 2 ONEPLUS 3  SAMSUNG Thanks  amazonIN  for  AmazonFinaleDays  https   t co LyCucVAav8,Surprise
stream party in the USA,Joy
 dardanibre Un video del capo dell Imam Hussein  nipote del Profeta Muhammad  per ottenere un night club in cui bal  https   t co 64JwgYsamP,Fear
Joe Biden ain t answer one real question he just rode the Obama connection all the way,Surprise
  All indomani dell incontro    1988 by Salvador Aulestia  1915 1994  60x100 cm  Timeless Women exhibition in Almac  https   t co afCy59sIqh,Fear
  All indomani dell incontro    1988 by Salvador Aulestia  1915 1994  60x100 cm  Timeless Women exhibition in Almac  https   t co mCsEEYDYUt,Fear
Over the top ain t the word https   t co YCHmYz3BSY,Joy
RT  ddlovato  This was OUR election and WE WON TOGETHER  There s still a lot of work to be done  but today we will celebrate each other ,Joy
RT  ddlovato  Our 46th president   joebiden       I ve been waiting to post this photo because I knew deep down you would be our next Presi ,Joy
RT  jasminecrowe  I ve teamed up with  Dell to offer a full summer internship and free Dell XPS laptop  which is pretty amazing   I m encou ,Joy
RT  StephenMerchant  So happy I can stop losing sleep over the election and get back to losing sleep over coronavirus ,Joy
g n girl crying into her trump 2020 pillow right now,Joy
Let s begin protesting the Biden presidency starting January 21st and demand that we actually work to take care of  https   t co iECZRL9S4R,Fear
destroying and rebuilding policing  destroying the prison system  an actual response to the climate change crisis    https   t co El6KeSDWAY,Fear
positions to be adopted and implemented that will actually effect the change needed in the US  M4A  abolition of th  https   t co nRHpwat7Ih,Fear
Getting rid of Trump is step one in a long process to fix what s broken in this country  Over 70 million people vot  https   t co t8yleCnQJj,Fear
 ellartfrank  dell krushnic Refering to someone as ignorant and not up to date with current issues is arrogant  Esp  https   t co UMOTmu68cN,Anger
RT  justseekheIp  Trump goin thru it https   t co XpTAVd1USQ,Joy
RT  jasminecrowe  I ve teamed up with  Dell to offer a full summer internship and free Dell XPS laptop  which is pretty amazing   I m encou ,Joy
Misha Collins must be so happy right now,Surprise
 MrsYu07 aaaaa thank u dell  ,Surprise
I believe PA uses Dell Lattitude computers for voting with3410 circuit board  May 2020 they switched from NVDIA WIf  https   t co Sxqum9WaNt,Fear
  dell dell  Say thatttt,Surprise
Lol dell crazy bro  On gang https   t co I96ehtknFU,Surprise
   45      Forced change for  Spezia too    Dell Orco     Chabot    BeneventoSpezia 0 1,Fear
 dell krushnic He s doing too much  Especially for someone so comfy around Kushner and Ivanka,Anger
 iamjohnhermit  dell krushnic And there u go using the wrong adjective again  I am confidently informed on current  https   t co U47L7bBn2e,Joy
 thecocoapod  Exactly my reaction,Joy
RT  historia stan  Luv to see it https   t co jJW3TdGWs1,Fear
 Intact Account  Lenovo  lenovo UKI  Dell The go to question  for the top IT technicians worldwide    ,Surprise
RT  ananavarro  I m celebrating for the kids at the border  For the women he harassed  The Mexicans he called  criminals and rapists   I m ,Joy
 president dell Bet it,Surprise
Does this mean that Hunter Biden s laptop is now  The First Dell of the United States  ,Joy
RT  arianabirkins  this is the only day you can rt this https   t co pk69kYZc2w,Surprise
 MrLewis 3     finna find out now,Surprise
 dell krushnic lmao that might be it,Surprise
RT   MarcusD3   Van Jones after Biden is the elected president  https   t co eWHxhXUL0K,Surprise
 ellartfrank  dell krushnic You tweet so arrogantly for someone who hates Trump    70 million people voted for Trum  https   t co E7goqGsZYh,Fear
RT  Indira L   NkechiThinks  Yamiche So many firsts  first woman and first Black and first Asian American VP,Fear
RT  NkechiThinks   Yamiche who is a WOMAN  And South Asian  AND IN OUR LIFETIMES,Joy
thinking about the  10 000 leaving Nigel farage s bank account   ,Sadness
 zuutg Because Kanye said slavery is a choice,Surprise
 dell amber Anytime Tomi Lahren speaks we be like  https   t co KOFndPszH0,Surprise
RT  Og alf   president dell Happy birthday Odell   ,Surprise
RT  lorlndshordy  happy dragday to my son that s older than me   more life my boy  ,Joy
RT  FlockLesnar   president dell Happy birthday my boy,Surprise
RT  thatguylouie    president dell happy birthday my brotha   ,Surprise
RT  1FLGSavo   president dell Happy bday my boy,Surprise
RT  MrCashleticz   president dell More life again Gang    live it up,Surprise
RT  BeGreatRJ  Happy Birthday family  ,Surprise
 dell krushnic  ellartfrank Lol and it s not the end of the world  My other role model Mahama lost in 2016 but I ve  https   t co j6CsVW4nms,Joy
Tears of joy for the American people and the world   https   t co snFPnNOiQM,Joy
 geekyranjit  Thisisnarendran Yes I agree with you  But compared other brands service is very good in Dell  I think  https   t co nqM8dCXaAt,Joy
RT  Yamiche  A Black Vice President elect ,Fear
RT  nprpolitics  JUST IN  President elect Joe Biden issued a statement on Saturday after the 2020 presidential race was called  saying he w ,Surprise
Fight what girl your side lost https   t co SDlwi2IJAq,Anger
RT  donwinslow  Dear  HillaryClinton   No one will EVER forget the path you paved to make this moment possible   No one will EVER forget th ,Fear
 ellartfrank  iamjohnhermit Leave him,Sadness
 Jaclyn Dell So much joy ,Joy
 dell krushnic  iamjohnhermit Chale his ignorance on issues they off me and the conflating of current issues really  https   t co gawRegJoPD,Fear
 ellartfrank  dell krushnic I should be asking you that,Surprise
America when it can t be great again https   t co q9DuS5TEBh,Fear
RT  KamalaHarris  We did it   JoeBiden  https   t co oCgeylsjB4,Surprise
Borderline  Collected Short Stories from Dell Sweet https   t co XeZdsraIIX,Surprise
RT  nhannahjones  Sent packing by the first Black woman Vice President in this history of this country and millions of nameless Black women ,Fear
 ellartfrank  dell krushnic So Biden endorsing homosexuality and abortion is fine with your moral compass  Which in  https   t co qJXNp0Mx09,Joy
 ellartfrank  iamjohnhermit Ellart stop arguing  Whether he likes it or not his role model is out         https   t co Byej9ghMeX,Joy
 iamjohnhermit  dell krushnic Did u read before replying or you just had to type for the sake of keeping your drowning argument going  ,Fear
RT  eevintage  Rhinestone Wreath Brooch Multi Color in 12K Gold Filled Signed Van Dell Vintage Jewelry Mid Century by EclecticVintager http ,Joy
RT  MyleezaKardash  I know you feel so good rn girl      Job well done  Way to milk him for the good of the people   KimKardashian,Joy
 iamjohnhermit  dell krushnic To save the planet through a coalition a nation in an effort to reduce emission and y  https   t co AI5SjltcxJ,Fear
Lmaoooo it s true https   t co cu0RZIE433 https   t co bUByWuTV0X,Fear
Sad can t even run minecraft well on my computer cause it s not good  Its not even a proper pc its just a dell lapt  https   t co 2SCnQ1JZeH,Fear
 ellartfrank  dell krushnic You re the one deviating here my friend  You claimed it wasn t right for me to describe  https   t co qfoYNaFWHB,Fear
Happy Birthday Dell   ,Surprise
RT  buppkizz  mr dell        https   t co O2U0TdoKyz,Fear
Clean Sheet FC ,Joy
 transam17  David82415165  Sportsnet Id love to see your reaction in the years to come as biden fucks up America day by day,Surprise
 maktejah  Dell is like Subaru and Hp like Toyota,Joy
RT  maktejah   I can only use Dell XPS,Fear
  muchirih Dell XPS,Surprise
